HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3CTOC39K37Q2VBZK28S3T0KDPS0J7K,A28KJPWD4OIG9E,Approved,"Wed Mar 30 21:24:39 PDT 2016","Wed Mar 30 21:25:31 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3TMFV4NEP8ES1942JC3OWQAG28FW8F,A7KLTVEIASF4J,Approved,"Wed Mar 30 21:25:34 PDT 2016","Wed Mar 30 21:26:11 PDT 2016",  This was hard,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",33CKWXB73JKHP84EN35OOQXESP0111,A3QJ14Y7N8VQ42,Approved,"Wed Mar 30 21:25:47 PDT 2016","Wed Mar 30 21:26:56 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3NPI0JQDAO5LFKZPAO0OVSY7NOXTP6,A208PG6SY6NYXP,Approved,"Wed Mar 30 21:26:32 PDT 2016","Wed Mar 30 21:27:27 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3WOKGM4L71G2EBQXXMZZMHRCG84O08,A3SLZS5IPI1JRZ,Approved,"Wed Mar 30 21:25:36 PDT 2016","Wed Mar 30 21:27:29 PDT 2016",,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",320DUZ38G7MLO4ALVBWXZDX6OVJGJK,A1D9FOXZ0UT0L2,Approved,"Wed Mar 30 21:26:23 PDT 2016","Wed Mar 30 21:27:57 PDT 2016",  I didnt remember the name of the person,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3GFK2QRXX9H9ERL0LEWLK60P0IEW5D,AFGUCC5L330EU,Approved,"Wed Mar 30 21:26:41 PDT 2016","Wed Mar 30 21:28:25 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3VBEN272MKZEN7TBI55BREOTKEWGS0,A25Q4MGWMU67BR,Approved,"Wed Mar 30 21:27:50 PDT 2016","Wed Mar 30 21:29:18 PDT 2016",  ,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3VELCLL3GKJ8FNYMU2K9DS18TZJ1F2,A1DDBGQDMZZ1VW,Approved,"Wed Mar 30 21:28:01 PDT 2016","Wed Mar 30 21:29:18 PDT 2016",  Thank you,Complete HIT,
32TMVRKDGNYE6NNOJ4R3CEV1B3748G,"Facebook impressions","",3JRJSWSMQHLCJCC5MVEMJ3V5FIIE3P,A3A8P4UR9A0DWQ,Approved,"Wed Mar 30 21:28:27 PDT 2016","Wed Mar 30 21:29:32 PDT 2016",  Fun Hit,Complete HIT,
